"","semillas","dimensiones","largos"
"1",12,40,17
"2",12,40,55
"3",12,40,11
"4",12,40,22
"5",12,40,47
"6",12,40,23
"7",12,40,16
"8",12,40,18
"9",12,40,15
"10",12,40,17
"11",12,40,9
"12",12,40,16
"13",12,40,57
"14",12,40,10
"15",12,40,49
"16",12,40,17
"17",12,40,39
"18",12,40,75
"19",12,40,9
"20",12,40,22
"21",12,40,23
"22",12,40,53
"23",12,40,22
"24",12,40,11
"25",12,40,21
"26",12,40,12
"27",12,40,58
"28",12,40,10
"29",12,40,21
"30",12,40,26
"31",12,40,17
"32",12,40,26
"33",12,40,8
"34",12,40,36
"35",12,40,42
"36",12,40,30
"37",12,40,12
"38",12,40,181
"39",12,40,38
"40",12,40,6
"41",12,40,22
"42",12,40,36
"43",12,40,28
"44",12,40,11
"45",12,40,17
"46",12,40,27
"47",12,40,52
"48",12,40,6
"49",12,40,12
"50",12,40,3
"51",12,40,37
"52",12,40,9
"53",12,40,20
"54",12,40,11
"55",12,40,20
"56",12,40,15
"57",12,40,29
"58",12,40,9
"59",12,40,7
"60",12,40,24
"61",12,40,44
"62",12,40,42
"63",12,40,14
"64",12,40,9
"65",12,40,54
"66",12,40,73
"67",12,40,12
"68",12,40,15
"69",12,40,8
"70",12,40,39
"71",12,40,37
"72",12,40,7
"73",12,40,32
"74",12,40,9
"75",12,40,4
"76",12,40,41
"77",12,40,80
"78",12,40,32
"79",12,40,10
"80",12,40,14
"81",12,40,53
"82",12,40,14
"83",12,40,41
"84",12,40,29
"85",12,40,21
"86",12,40,35
"87",12,40,25
"88",12,40,15
"89",12,40,28
"90",12,40,11
"91",12,40,10
"92",12,40,33
"93",12,40,59
"94",12,40,33
"95",12,40,9
"96",12,40,30
"97",12,40,3
"98",12,40,31
"99",12,40,8
"100",12,40,38
"101",12,40,6
"102",12,40,50
"103",12,40,11
"104",12,40,43
"105",12,40,6
"106",12,40,10
"107",12,40,9
"108",12,40,6
"109",12,40,72
"110",12,40,21
"111",12,40,37
"112",12,40,11
"113",12,40,74
"114",12,40,23
"115",12,40,51
"116",12,40,30
"117",12,40,10
"118",12,40,5
"119",12,40,16
"120",12,40,12
"121",12,40,7
"122",12,40,16
"123",12,40,14
"124",12,40,8
"125",12,40,52
"126",12,40,52
"127",12,40,7
"128",12,40,31
"129",12,40,10
"130",12,40,60
"131",12,40,21
"132",12,40,11
"133",12,40,22
"134",12,40,12
"135",12,40,69
"136",12,40,14
"137",12,40,8
"138",12,40,18
"139",12,40,21
"140",12,40,44
"141",12,40,7
"142",12,40,23
"143",12,40,41
"144",12,40,21
"145",12,40,40
"146",12,40,43
"147",12,40,102
"148",12,40,11
"149",12,40,6
"150",12,40,33
"151",12,40,22
"152",12,40,51
"153",12,40,28
"154",12,40,63
"155",12,40,68
"156",12,40,44
"157",12,40,11
"158",12,40,12
"159",12,40,4
"160",12,40,36
"161",12,40,5
"162",12,40,9
"163",12,40,70
"164",12,40,3
"165",12,40,59
"166",12,40,12
"167",12,40,6
"168",12,40,20
"169",12,40,53
"170",12,40,16
"171",12,40,12
"172",12,40,9
"173",12,40,114
"174",12,40,11
"175",12,40,6
"176",12,40,15
"177",12,40,13
"178",12,40,32
"179",12,40,48
"180",12,40,29
"181",12,40,7
"182",12,40,74
"183",12,40,18
"184",12,40,33
"185",12,40,44
"186",12,40,3
"187",12,40,34
"188",12,40,32
"189",12,40,7
"190",12,40,10
"191",12,40,4
"192",12,40,20
"193",12,40,15
"194",12,40,61
"195",12,40,12
"196",12,40,20
"197",12,40,40
"198",12,40,8
"199",12,40,8
"200",12,40,27
"201",12,40,15
"202",12,40,6
"203",12,40,10
"204",12,40,36
"205",12,40,24
"206",12,40,23
"207",12,40,8
"208",12,40,32
"209",12,40,26
"210",12,40,39
"211",12,40,3
"212",12,40,35
"213",12,40,56
"214",12,40,10
"215",12,40,7
"216",12,40,7
"217",12,40,5
"218",12,40,7
"219",12,40,34
"220",12,40,11
"221",12,40,15
"222",12,40,10
"223",12,40,13
"224",12,40,34
"225",12,40,36
"226",12,40,12
"227",12,40,37
"228",12,40,17
"229",12,40,22
"230",12,40,26
"231",12,40,71
"232",12,40,86
"233",12,40,11
"234",12,40,15
"235",12,40,16
"236",12,40,12
"237",12,40,23
"238",12,40,55
"239",12,40,43
"240",12,40,76
"241",12,40,14
"242",12,40,20
"243",12,40,6
"244",12,40,40
"245",12,40,10
"246",12,40,119
"247",12,40,14
"248",12,40,12
"249",12,40,7
"250",12,40,84
"251",12,40,14
"252",12,40,19
"253",12,40,45
"254",12,40,8
"255",12,40,7
"256",12,40,13
"257",12,40,27
"258",12,40,15
"259",12,40,12
"260",12,40,12
"261",12,40,23
"262",12,40,18
"263",12,40,31
"264",12,40,6
"265",12,40,7
"266",12,40,15
"267",12,40,4
"268",12,40,16
"269",12,40,10
"270",12,40,10
"271",12,40,12
"272",12,40,10
"273",12,40,30
"274",12,40,8
"275",12,40,55
"276",12,40,71
"277",12,40,10
"278",12,40,64
"279",12,40,30
"280",12,40,13
"281",12,40,19
"282",12,40,12
"283",12,40,24
"284",12,40,44
"285",12,40,7
"286",12,40,12
"287",12,40,17
"288",12,40,28
"289",12,40,19
"290",12,40,69
"291",12,40,48
"292",12,40,14
"293",12,40,14
"294",12,40,88
"295",12,40,7
"296",12,40,19
"297",12,40,192
"298",12,40,7
"299",12,40,41
"300",12,40,18
"301",12,40,13
"302",12,40,26
"303",12,40,9
"304",12,40,10
"305",12,40,18
"306",12,40,6
"307",12,40,27
"308",12,40,45
"309",12,40,33
"310",12,40,8
"311",12,40,29
"312",12,40,11
"313",12,40,55
"314",12,40,17
"315",12,40,29
"316",12,40,11
"317",12,40,27
"318",12,40,2
"319",12,40,61
"320",12,40,39
"321",12,40,20
"322",12,40,39
"323",12,40,19
"324",12,40,11
"325",12,40,23
"326",12,40,21
"327",12,40,23
"328",12,40,27
"329",12,40,5
"330",12,40,13
"331",12,40,35
"332",12,40,11
"333",12,40,18
"334",12,40,53
"335",12,40,7
"336",12,40,22
"337",12,40,11
"338",12,40,29
"339",12,40,105
"340",12,40,30
"341",12,40,8
"342",12,40,11
"343",12,40,4
"344",12,40,7
"345",12,40,15
"346",12,40,11
"347",12,40,11
"348",12,40,11
"349",12,40,15
"350",12,40,26
"351",12,40,89
"352",12,40,3
"353",12,40,8
"354",12,40,34
"355",12,40,55
"356",12,40,13
"357",12,40,16
"358",12,40,29
"359",12,40,15
"360",12,40,50
"361",12,40,22
"362",12,40,25
"363",12,40,26
"364",12,40,15
"365",12,40,13
"366",12,40,11
"367",12,40,26
"368",12,40,11
"369",12,40,5
"370",12,40,38
"371",12,40,16
"372",12,40,96
"373",12,40,32
"374",12,40,14
"375",12,40,23
"376",12,40,16
"377",12,40,11
"378",12,40,37
"379",12,40,9
"380",12,40,17
"381",12,40,15
"382",12,40,16
"383",12,40,10
"384",12,40,13
"385",12,40,9
"386",12,40,12
"387",12,40,17
"388",12,40,7
"389",12,40,53
"390",12,40,12
"391",12,40,24
"392",12,40,28
"393",12,40,20
"394",12,40,3
"395",12,40,8
"396",12,40,3
"397",12,40,5
"398",12,40,21
"399",12,40,45
"400",12,40,9
"401",12,40,72
"402",12,40,35
"403",12,40,42
"404",12,40,64
"405",12,40,14
"406",12,40,96
"407",12,40,99
"408",12,40,22
"409",12,40,46
"410",12,40,11
"411",12,40,74
"412",12,40,29
"413",12,40,35
"414",12,40,42
"415",12,40,6
"416",12,40,52
"417",12,40,19
"418",12,40,39
"419",12,40,7
"420",12,40,23
"421",12,40,102
"422",12,40,88
"423",12,40,51
"424",12,40,8
"425",12,40,19
"426",12,40,14
"427",12,40,20
"428",12,40,79
"429",12,40,7
"430",12,40,13
"431",12,40,7
"432",12,40,40
"433",12,40,56
"434",12,40,6
"435",12,40,36
"436",12,40,9
"437",12,40,16
"438",12,40,8
"439",12,40,13
"440",12,40,19
"441",12,40,90
"442",12,40,13
"443",12,40,8
"444",12,40,14
"445",12,40,5
"446",12,40,6
"447",12,40,18
"448",12,40,25
"449",12,40,59
"450",12,40,34
"451",12,40,7
"452",12,40,23
"453",12,40,6
"454",12,40,6
"455",12,40,46
"456",12,40,44
"457",12,40,32
"458",12,40,15
"459",12,40,25
"460",12,40,13
"461",12,40,24
"462",12,40,31
"463",12,40,23
"464",12,40,14
"465",12,40,8
"466",12,40,44
"467",12,40,24
"468",12,40,98
"469",12,40,29
"470",12,40,24
"471",12,40,29
"472",12,40,92
"473",12,40,7
"474",12,40,76
"475",12,40,48
"476",12,40,2
"477",12,40,12
"478",12,40,25
"479",12,40,13
"480",12,40,14
"481",12,40,16
"482",12,40,80
"483",12,40,50
"484",12,40,18
"485",12,40,11
"486",12,40,14
"487",12,40,32
"488",12,40,11
"489",12,40,10
"490",12,40,22
"491",12,40,12
"492",12,40,11
"493",12,40,37
"494",12,40,13
"495",12,40,8
"496",12,40,6
"497",12,40,11
"498",12,40,59
"499",12,40,5
"500",12,40,31
"501",36,40,54
"502",36,40,29
"503",36,40,21
"504",36,40,30
"505",36,40,187
"506",36,40,172
"507",36,40,46
"508",36,40,107
"509",36,40,230
"510",36,40,11
"511",36,40,11
"512",36,40,77
"513",36,40,13
"514",36,40,71
"515",36,40,108
"516",36,40,135
"517",36,40,157
"518",36,40,24
"519",36,40,80
"520",36,40,201
"521",36,40,211
"522",36,40,70
"523",36,40,42
"524",36,40,67
"525",36,40,38
"526",36,40,5
"527",36,40,27
"528",36,40,44
"529",36,40,44
"530",36,40,25
"531",36,40,5
"532",36,40,150
"533",36,40,13
"534",36,40,21
"535",36,40,103
"536",36,40,127
"537",36,40,92
"538",36,40,20
"539",36,40,32
"540",36,40,13
"541",36,40,86
"542",36,40,48
"543",36,40,41
"544",36,40,49
"545",36,40,6
"546",36,40,177
"547",36,40,81
"548",36,40,47
"549",36,40,19
"550",36,40,132
"551",36,40,71
"552",36,40,25
"553",36,40,77
"554",36,40,8
"555",36,40,38
"556",36,40,75
"557",36,40,75
"558",36,40,51
"559",36,40,19
"560",36,40,123
"561",36,40,92
"562",36,40,147
"563",36,40,185
"564",36,40,177
"565",36,40,58
"566",36,40,69
"567",36,40,31
"568",36,40,71
"569",36,40,111
"570",36,40,137
"571",36,40,40
"572",36,40,130
"573",36,40,13
"574",36,40,38
"575",36,40,10
"576",36,40,27
"577",36,40,21
"578",36,40,9
"579",36,40,9
"580",36,40,37
"581",36,40,34
"582",36,40,45
"583",36,40,51
"584",36,40,7
"585",36,40,8
"586",36,40,41
"587",36,40,101
"588",36,40,11
"589",36,40,47
"590",36,40,3
"591",36,40,32
"592",36,40,81
"593",36,40,47
"594",36,40,64
"595",36,40,51
"596",36,40,50
"597",36,40,77
"598",36,40,29
"599",36,40,26
"600",36,40,9
"601",36,40,144
"602",36,40,51
"603",36,40,24
"604",36,40,117
"605",36,40,43
"606",36,40,26
"607",36,40,102
"608",36,40,11
"609",36,40,75
"610",36,40,37
"611",36,40,68
"612",36,40,4
"613",36,40,35
"614",36,40,66
"615",36,40,93
"616",36,40,69
"617",36,40,58
"618",36,40,36
"619",36,40,16
"620",36,40,125
"621",36,40,56
"622",36,40,7
"623",36,40,111
"624",36,40,28
"625",36,40,50
"626",36,40,7
"627",36,40,10
"628",36,40,32
"629",36,40,95
"630",36,40,62
"631",36,40,177
"632",36,40,76
"633",36,40,50
"634",36,40,210
"635",36,40,53
"636",36,40,29
"637",36,40,40
"638",36,40,21
"639",36,40,7
"640",36,40,204
"641",36,40,10
"642",36,40,76
"643",36,40,19
"644",36,40,71
"645",36,40,72
"646",36,40,102
"647",36,40,49
"648",36,40,188
"649",36,40,36
"650",36,40,30
"651",36,40,15
"652",36,40,28
"653",36,40,74
"654",36,40,9
"655",36,40,208
"656",36,40,42
"657",36,40,57
"658",36,40,63
"659",36,40,56
"660",36,40,34
"661",36,40,52
"662",36,40,14
"663",36,40,123
"664",36,40,20
"665",36,40,63
"666",36,40,19
"667",36,40,14
"668",36,40,18
"669",36,40,41
"670",36,40,36
"671",36,40,42
"672",36,40,10
"673",36,40,81
"674",36,40,164
"675",36,40,43
"676",36,40,106
"677",36,40,58
"678",36,40,11
"679",36,40,26
"680",36,40,185
"681",36,40,107
"682",36,40,111
"683",36,40,79
"684",36,40,61
