,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.,dimension,semillas
1,2,11,18,26.572,35,192,40,12
2,2,23,43.5,58.138,75,232,40,36
3,2,24,54.5,73.53,103,375,40,70
4,3,29,68,89.432,126.25,411,40,84
5,2,9,14,17.018,21,81,120,12
6,2,9,14,18.608,23.25,114,120,36
7,2,10,16,22.32,27,178,120,70
8,2,11,19,28.024,37,155,120,84
9,2,9,13,15.058,19,111,200,12
10,2,9,14,17.838,21,119,200,36
11,2,9,14,19.096,23,113,200,70
12,2,9,14,19.06,23,143,200,84
13,2,9,13,14.77,19,92,280,12
14,2,9,14,15.746,19,75,280,36
15,2,8,13,16.414,20,80,280,70
16,2,10,15,19.268,22,121,280,84
