"","desde fila/columna","hasta fila/columna","largos"
"1",1,10,23
"2",1,10,45
"3",1,10,9
"4",1,10,10
"5",1,10,15
"6",1,10,26
"7",1,10,18
"8",1,10,23
"9",1,10,15
"10",1,10,21
"11",1,10,9
"12",1,10,23
"13",1,10,10
"14",1,10,85
"15",1,10,10
"16",1,10,30
"17",1,10,13
"18",1,10,53
"19",1,10,19
"20",1,10,26
"21",1,10,7
"22",1,10,16
"23",1,10,27
"24",1,10,61
"25",1,10,150
"26",1,10,20
"27",1,10,9
"28",1,10,4
"29",1,10,38
"30",1,10,13
"31",1,10,16
"32",1,10,10
"33",1,10,42
"34",1,10,11
"35",1,10,63
"36",1,10,28
"37",1,10,47
"38",1,10,72
"39",1,10,31
"40",1,10,104
"41",1,10,11
"42",1,10,14
"43",1,10,16
"44",1,10,31
"45",1,10,30
"46",1,10,21
"47",1,10,12
"48",1,10,62
"49",1,10,15
"50",1,10,25
"51",1,10,62
"52",1,10,45
"53",1,10,11
"54",1,10,31
"55",1,10,12
"56",1,10,27
"57",1,10,53
"58",1,10,7
"59",1,10,27
"60",1,10,43
"61",1,10,13
"62",1,10,17
"63",1,10,6
"64",1,10,17
"65",1,10,21
"66",1,10,34
"67",1,10,9
"68",1,10,11
"69",1,10,14
"70",1,10,21
"71",1,10,5
"72",1,10,27
"73",1,10,4
"74",1,10,37
"75",1,10,18
"76",1,10,5
"77",1,10,8
"78",1,10,7
"79",1,10,17
"80",1,10,17
"81",1,10,19
"82",1,10,42
"83",1,10,12
"84",1,10,4
"85",1,10,9
"86",1,10,14
"87",1,10,13
"88",1,10,10
"89",1,10,31
"90",1,10,26
"91",1,10,27
"92",1,10,29
"93",1,10,63
"94",1,10,60
"95",1,10,23
"96",1,10,101
"97",1,10,10
"98",1,10,9
"99",1,10,15
"100",1,10,21
"101",1,10,6
"102",1,10,23
"103",1,10,56
"104",1,10,25
"105",1,10,32
"106",1,10,54
"107",1,10,11
"108",1,10,17
"109",1,10,18
"110",1,10,11
"111",1,10,22
"112",1,10,20
"113",1,10,9
"114",1,10,55
"115",1,10,97
"116",1,10,14
"117",1,10,10
"118",1,10,8
"119",1,10,34
"120",1,10,7
"121",1,10,10
"122",1,10,22
"123",1,10,10
"124",1,10,9
"125",1,10,32
"126",1,10,35
"127",1,10,24
"128",1,10,43
"129",1,10,12
"130",1,10,2
"131",1,10,10
"132",1,10,28
"133",1,10,33
"134",1,10,14
"135",1,10,64
"136",1,10,13
"137",1,10,11
"138",1,10,27
"139",1,10,15
"140",1,10,8
"141",1,10,31
"142",1,10,9
"143",1,10,25
"144",1,10,8
"145",1,10,10
"146",1,10,9
"147",1,10,28
"148",1,10,84
"149",1,10,3
"150",1,10,5
"151",1,10,16
"152",1,10,37
"153",1,10,17
"154",1,10,37
"155",1,10,16
"156",1,10,5
"157",1,10,22
"158",1,10,14
"159",1,10,83
"160",1,10,19
"161",1,10,52
"162",1,10,24
"163",1,10,53
"164",1,10,17
"165",1,10,19
"166",1,10,66
"167",1,10,27
"168",1,10,16
"169",1,10,17
"170",1,10,12
"171",1,10,10
"172",1,10,7
"173",1,10,68
"174",1,10,84
"175",1,10,7
"176",1,10,33
"177",1,10,31
"178",1,10,8
"179",1,10,37
"180",1,10,17
"181",1,10,10
"182",1,10,48
"183",1,10,29
"184",1,10,43
"185",1,10,34
"186",1,10,16
"187",1,10,15
"188",1,10,10
"189",1,10,10
"190",1,10,20
"191",1,10,82
"192",1,10,9
"193",1,10,5
"194",1,10,15
"195",1,10,25
"196",1,10,33
"197",1,10,2
"198",1,10,4
"199",1,10,73
"200",1,10,61
"201",1,10,15
"202",1,10,17
"203",1,10,18
"204",1,10,35
"205",1,10,5
"206",1,10,50
"207",1,10,6
"208",1,10,33
"209",1,10,43
"210",1,10,17
"211",1,10,13
"212",1,10,43
"213",1,10,16
"214",1,10,6
"215",1,10,11
"216",1,10,51
"217",1,10,21
"218",1,10,26
"219",1,10,62
"220",1,10,14
"221",1,10,16
"222",1,10,43
"223",1,10,27
"224",1,10,16
"225",1,10,15
"226",1,10,24
"227",1,10,25
"228",1,10,22
"229",1,10,20
"230",1,10,70
"231",1,10,13
"232",1,10,44
"233",1,10,20
"234",1,10,23
"235",1,10,8
"236",1,10,14
"237",1,10,20
"238",1,10,17
"239",1,10,20
"240",1,10,64
"241",1,10,26
"242",1,10,12
"243",1,10,9
"244",1,10,20
"245",1,10,76
"246",1,10,28
"247",1,10,10
"248",1,10,29
"249",1,10,24
"250",1,10,6
"251",1,10,7
"252",1,10,4
"253",1,10,72
"254",1,10,16
"255",1,10,5
"256",1,10,28
"257",1,10,8
"258",1,10,18
"259",1,10,37
"260",1,10,39
"261",1,10,13
"262",1,10,69
"263",1,10,31
"264",1,10,40
"265",1,10,35
"266",1,10,21
"267",1,10,13
"268",1,10,25
"269",1,10,35
"270",1,10,18
"271",1,10,17
"272",1,10,17
"273",1,10,56
"274",1,10,11
"275",1,10,59
"276",1,10,7
"277",1,10,37
"278",1,10,40
"279",1,10,49
"280",1,10,16
"281",1,10,14
"282",1,10,6
"283",1,10,20
"284",1,10,8
"285",1,10,16
"286",1,10,10
"287",1,10,13
"288",1,10,8
"289",1,10,21
"290",1,10,9
"291",1,10,9
"292",1,10,40
"293",1,10,24
"294",1,10,23
"295",1,10,20
"296",1,10,57
"297",1,10,67
"298",1,10,33
"299",1,10,50
"300",1,10,2
"301",1,10,23
"302",1,10,7
"303",1,10,31
"304",1,10,9
"305",1,10,11
"306",1,10,24
"307",1,10,15
"308",1,10,21
"309",1,10,11
"310",1,10,8
"311",1,10,12
"312",1,10,19
"313",1,10,21
"314",1,10,41
"315",1,10,11
"316",1,10,6
"317",1,10,11
"318",1,10,16
"319",1,10,19
"320",1,10,49
"321",1,10,25
"322",1,10,11
"323",1,10,23
"324",1,10,65
"325",1,10,59
"326",1,10,20
"327",1,10,7
"328",1,10,11
"329",1,10,21
"330",1,10,6
