"","X2","X11","X19","X25.196","X32.25","X150","desde","hasta"
"1",2,11,19,25.196,32.25,150,1,10
"2",2,11,18,30.51,39.5,169,1,20
"3",2,9,15,22.016,26,164,1,30
"4",2,10,17,28.634,38,230,1,40
"5",2,11,17,23.75,29.25,103,10,10
"6",2,9,15,20.55,23,153,10,20
"7",2,10,16,24.536,30,178,10,30
"8",2,10,19,28.496,38,162,10,40
"9",2,9,15,20.93,24.25,125,20,10
"10",2,10,17,25.448,29.25,147,20,20
"11",2,10,17,24.46,30,134,20,30
"12",2,10,17,25.854,31.25,200,20,40
"13",2,11,17,23.118,27,154,30,10
"14",2,10,15,22.058,26,137,30,20
"15",2,10,18.5,28.674,35,168,30,30
"16",2,11.75,21,30.628,42.25,148,30,40
