,estimación,tamaño,tiempo,diferencia
X3.1392,3.1392,10000,0.14,0.002392654
X3.1304,3.1304,10000,0.14,0.011192654
X3.1466,3.1466,10000,0.14,0.005007346
X3.148,3.148,10000,0.14,0.006407346
X3.1584,3.1584,10000,0.14,0.016807346
X3.1304.1,3.1304,10000,0.14,0.011192654
X3.156,3.156,10000,0.14,0.014407346
X3.1586,3.1586,10000,0.14,0.017007346
X3.1478,3.1478,10000,0.14,0.006207346
X3.1592,3.1592,10000,0.14,0.017607346
X3.1392.1,3.148,40000,0.19,0.006407346
X3.1304.2,3.13605,40000,0.19,0.005542654
X3.1466.1,3.1505,40000,0.19,0.008907346
X3.148.1,3.135,40000,0.19,0.006592654
X3.1584.1,3.1441,40000,0.19,0.002507346
X3.1304.1.1,3.13625,40000,0.19,0.005342654
X3.156.1,3.1448,40000,0.19,0.003207346
X3.1586.1,3.14105,40000,0.19,0.000542654
X3.1478.1,3.13335,40000,0.19,0.008242654
X3.1592.1,3.1362,40000,0.19,0.005392654
X3.1392.2,3.141711111,90000,0.34,0.000118458
X3.1304.3,3.140333333,90000,0.34,0.00125932
X3.1466.2,3.139666667,90000,0.34,0.001925987
X3.148.2,3.137822222,90000,0.34,0.003770431
X3.1584.2,3.146888889,90000,0.34,0.005296235
X3.1304.1.2,3.149933333,90000,0.34,0.00834068
X3.156.2,3.139888889,90000,0.34,0.001703765
X3.1586.2,3.1402,90000,0.34,0.001392654
X3.1478.2,3.143222222,90000,0.34,0.001629569
X3.1592.2,3.137355556,90000,0.34,0.004237098
X3.1392.3,3.139825,160000,0.48,0.001767654
X3.1304.4,3.140775,160000,0.48,0.000817654
X3.1466.3,3.1427875,160000,0.48,0.001194846
X3.148.3,3.1447875,160000,0.48,0.003194846
X3.1584.3,3.14485,160000,0.48,0.003257346
X3.1304.1.3,3.142625,160000,0.48,0.001032346
X3.156.3,3.140775,160000,0.48,0.000817654
X3.1586.3,3.139925,160000,0.48,0.001667654
X3.1478.3,3.1419125,160000,0.48,0.000319846
X3.1592.3,3.140825,160000,0.48,0.000767654
X3.1392.4,3.13976,250000,0.65,0.001832654
X3.1304.5,3.141056,250000,0.65,0.000536654
X3.1466.4,3.139192,250000,0.65,0.002400654
X3.148.4,3.14072,250000,0.65,0.000872654
X3.1584.4,3.140296,250000,0.65,0.001296654
X3.1304.1.4,3.139048,250000,0.65,0.002544654
X3.156.4,3.141376,250000,0.65,0.000216654
X3.1586.4,3.139048,250000,0.65,0.002544654
X3.1478.4,3.141392,250000,0.65,0.000200654
X3.1592.4,3.139752,250000,0.65,0.001840654
X3.1392.5,3.142527778,360000,0.85,0.000935124
X3.1304.6,3.142816667,360000,0.85,0.001224013
X3.1466.5,3.139405556,360000,0.85,0.002187098
X3.148.5,3.140894444,360000,0.85,0.000698209
X3.1584.5,3.139311111,360000,0.85,0.002281542
X3.1304.1.5,3.138011111,360000,0.85,0.003581542
X3.156.5,3.140755556,360000,0.85,0.000837098
X3.1586.5,3.144644444,360000,0.85,0.003051791
X3.1478.5,3.140983333,360000,0.85,0.00060932
X3.1592.5,3.145411111,360000,0.85,0.003818458
X3.1392.6,3.141497959,490000,1.13,9.47E-05
X3.1304.7,3.140873469,490000,1.13,0.000719184
X3.1466.6,3.142395918,490000,1.13,0.000803265
X3.148.6,3.141155102,490000,1.13,0.000437552
X3.1584.6,3.142844898,490000,1.13,0.001252244
X3.1304.1.6,3.141840816,490000,1.13,0.000248163
X3.156.6,3.142787755,490000,1.13,0.001195102
X3.1586.6,3.137820408,490000,1.13,0.003772245
X3.1478.6,3.141044898,490000,1.13,0.000547756
X3.1592.6,3.145016327,490000,1.13,0.003423673
X3.1392.7,3.142959375,640000,1.44,0.001366721
X3.1304.8,3.140990625,640000,1.44,0.000602029
X3.1466.7,3.142009375,640000,1.44,0.000416721
X3.148.7,3.140996875,640000,1.44,0.000595779
X3.1584.7,3.14135,640000,1.44,0.000242654
X3.1304.1.7,3.142225,640000,1.44,0.000632346
X3.156.7,3.140215625,640000,1.44,0.001377029
X3.1586.7,3.142153125,640000,1.44,0.000560471
X3.1478.7,3.142615625,640000,1.44,0.001022971
X3.1592.7,3.145453125,640000,1.44,0.003860471
X3.1392.8,3.139928395,810000,1.55,0.001664259
X3.1304.9,3.141283951,810000,1.55,0.000308703
X3.1466.8,3.14122716,810000,1.55,0.000365493
X3.148.8,3.140898765,810000,1.55,0.000693888
X3.1584.8,3.139120988,810000,1.55,0.002471666
X3.1304.1.8,3.141493827,810000,1.55,9.88E-05
X3.156.8,3.141881481,810000,1.55,0.000288828
X3.1586.8,3.142333333,810000,1.55,0.00074068
X3.1478.8,3.139365432,810000,1.55,0.002227221
X3.1592.8,3.142790123,810000,1.55,0.00119747
X3.1392.9,3.141304,1.00E+06,1.83,0.000288654
X3.1304.10,3.144488,1.00E+06,1.83,0.002895346
X3.1466.9,3.14089,1.00E+06,1.83,0.000702654
X3.148.9,3.142484,1.00E+06,1.83,0.000891346
X3.1584.9,3.141888,1.00E+06,1.83,0.000295346
X3.1304.1.9,3.141332,1.00E+06,1.83,0.000260654
X3.156.9,3.140794,1.00E+06,1.83,0.000798654
X3.1586.9,3.142992,1.00E+06,1.83,0.001399346
X3.1478.9,3.141202,1.00E+06,1.83,0.000390654
X3.1592.9,3.141592,1.00E+06,1.83,6.54E-07
X3.1392.10,3.142013223,1210000,2.34,0.00042057
X3.1304.11,3.141750413,1210000,2.34,0.00015776
