,estimación,pedazos,tiempo,diferencia
1,0.048811553,50000,3.143117189,2.24E-05
2,0.048716677,50000,0.566543818,0.000117323
3,0.048890722,50000,0.547290087,5.67E-05
4,0.048629969,50000,0.649687052,0.000204031
5,0.048930306,50000,0.550909996,9.63E-05
6,0.048911456,50000,0.548923016,7.75E-05
7,0.048695943,50000,0.638054848,0.000138057
8,0.049071049,50000,0.548930168,0.000237049
9,0.048891978,50000,0.559925795,5.80E-05
10,0.048652589,50000,0.631070137,0.000181411
11,0.048886009,1.00E+05,1.963978052,5.20E-05
12,0.048905016,1.00E+05,1.439601898,7.10E-05
13,0.048896533,1.00E+05,1.396507978,6.25E-05
14,0.048825219,1.00E+05,1.423969984,8.78E-06
15,0.04886873,1.00E+05,1.392712116,3.47E-05
16,0.048869516,1.00E+05,1.392727137,3.55E-05
17,0.048920567,1.00E+05,1.423969984,8.66E-05
18,0.048847053,1.00E+05,1.39170599,1.31E-05
19,0.048863704,1.00E+05,1.41437602,2.97E-05
20,0.048856007,1.00E+05,1.393747807,2.20E-05
21,0.048743904,150000,3.142631054,9.01E-05
22,0.048875432,150000,3.103002071,4.14E-05
23,0.048841713,150000,3.086758852,7.71E-06
24,0.048840665,150000,3.092382193,6.67E-06
25,0.048903916,150000,3.131675959,6.99E-05
26,0.048910339,150000,3.150277853,7.63E-05
27,0.048842411,150000,3.054539919,8.41E-06
28,0.04890999,150000,3.109028101,7.60E-05
29,0.048947619,150000,3.14586997,0.000113619
30,0.04885777,150000,3.12165904,2.38E-05
31,0.04891177,2.00E+05,5.751292944,7.78E-05
32,0.048838728,2.00E+05,5.396048069,4.73E-06
33,0.048913223,2.00E+05,5.491647005,7.92E-05
34,0.048892567,2.00E+05,5.4376719,5.86E-05
35,0.04881929,2.00E+05,5.421651125,1.47E-05
36,0.048873325,2.00E+05,5.443862915,3.93E-05
37,0.04883645,2.00E+05,5.39892292,2.45E-06
38,0.048829303,2.00E+05,5.352635145,4.70E-06
39,0.048750057,2.00E+05,5.267219067,8.39E-05
40,0.04894892,2.00E+05,5.437783957,0.00011492
41,0.048836862,250000,10.37484598,2.86E-06
42,0.048848398,250000,10.76399589,1.44E-05
43,0.048794136,250000,10.71585512,3.99E-05
44,0.048803988,250000,10.79492784,3.00E-05
45,0.048865388,250000,10.74806118,3.14E-05
46,0.048920328,250000,10.81344104,8.63E-05
47,0.048814293,250000,10.45176983,1.97E-05
48,0.048878758,250000,10.46675706,4.48E-05
49,0.048841838,250000,10.58167791,7.84E-06
50,0.048769908,250000,10.93572497,6.41E-05
51,0.048875869,3.00E+05,15.06149006,4.19E-05
52,0.048815271,3.00E+05,15.17874002,1.87E-05
53,0.048828361,3.00E+05,14.99793601,5.64E-06
54,0.048809738,3.00E+05,17.52090192,2.43E-05
55,0.048815184,3.00E+05,15.90185714,1.88E-05
56,0.048793803,3.00E+05,15.32532191,4.02E-05
57,0.048812548,3.00E+05,15.29843807,2.15E-05
58,0.048807591,3.00E+05,15.26324296,2.64E-05
59,0.048808499,3.00E+05,15.33203506,2.55E-05
60,0.04883995,3.00E+05,15.07338691,5.95E-06
61,0.048823735,350000,18.04752898,1.03E-05
62,0.04886296,350000,18.59320807,2.90E-05
63,0.048836148,350000,18.45897889,2.15E-06
64,0.048795371,350000,17.8867321,3.86E-05
65,0.048847124,350000,18.77853489,1.31E-05
66,0.048836481,350000,17.37578011,2.48E-06
67,0.048822017,350000,17.98273611,1.20E-05
68,0.04886246,350000,17.50956798,2.85E-05
69,0.048840751,350000,17.56983185,6.75E-06
70,0.048817106,350000,17.46821618,1.69E-05
71,0.048826712,4.00E+05,25.79591393,7.29E-06
72,0.048831797,4.00E+05,23.39071393,2.20E-06
73,0.048791938,4.00E+05,23.49254298,4.21E-05
74,0.048791339,4.00E+05,23.54256105,4.27E-05
75,0.048810847,4.00E+05,24.19964004,2.32E-05
76,0.048817483,4.00E+05,23.60065603,1.65E-05
77,0.048845149,4.00E+05,23.26802492,1.11E-05
78,0.048856144,4.00E+05,23.4282589,2.21E-05
79,0.048821803,4.00E+05,23.22856998,1.22E-05
80,0.048838227,4.00E+05,23.19969702,4.23E-06
